CookerStat, GenerateAssetRegistry=7.997826, Initialize=53.487309, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=29.649469, FlushAsyncLoading=0.009011, FlushStreamingFunc=0.145428, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.506587, TagPackageExports=33.956360, BeginCacheForCookedPlatformData=0.005711, SerializeImports=38.323345, GatherLocalizableTextData=27.201265, MarkNames=0.120789, SerializeSummary=0.014421, SerializeNames=0.285443, SerializeGatherableTextData=0.259005, BuildExportMap=0.279434, SortExportsNonSeekfree=8.609876, SortExportsSeekfreeConstructor=0.049878, SortExportsSeekfreeInner=32.597649, SortExportsSeekfree=0.007212, BuildDependencyMap=1.114432, SerializeImportMap=0.015926, SerializeExportMap=0.161350, SerializeDependencyMap=0.048373, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.004875, SerializeExports=49.629917, SerializeBulkData=0.021935, MoveFile=3.341191, UnaccountedTime=1.966558, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=39.851521, FlushAsyncLoading=0.033952, FlushStreamingFunc=0.195906, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.277635, TagPackageExports=72.405609, BeginCacheForCookedPlatformData=0.005405, SerializeImports=76.120575, GatherLocalizableTextData=52.469929, MarkNames=0.293855, SerializeSummary=0.012923, SerializeNames=0.671841, SerializeGatherableTextData=0.429969, BuildExportMap=0.694979, SortExportsNonSeekfree=23.547590, SortExportsSeekfreeConstructor=0.147831, SortExportsSeekfreeInner=96.305939, SortExportsSeekfree=0.005707, BuildDependencyMap=1.502637, SerializeImportMap=0.040863, SerializeExportMap=0.326309, SerializeDependencyMap=0.066705, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.041878, SerializeExports=96.979591, SerializeBulkData=0.008713, MoveFile=2.654023, UnaccountedTime=1.874611, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=3.433436, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.070609, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.134911, TagPackageExports=33.603313, BeginCacheForCookedPlatformData=0.018626, SerializeImports=37.338417, GatherLocalizableTextData=25.416792, MarkNames=0.117484, SerializeSummary=0.011116, SerializeNames=0.350043, SerializeGatherableTextData=0.681460, BuildExportMap=0.238873, SortExportsNonSeekfree=8.607171, SortExportsSeekfreeConstructor=0.046875, SortExportsSeekfreeInner=32.631901, SortExportsSeekfree=0.006612, BuildDependencyMap=0.244882, SerializeImportMap=0.014722, SerializeExportMap=0.164654, SerializeDependencyMap=0.091642, SerializeStringAssetReferenceMap=0.003006, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.863007, SerializeExports=50.573082, SerializeBulkData=0.008415, MoveFile=2.212938, UnaccountedTime=1.523066, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.501944, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.113577, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.145126, TagPackageExports=71.509613, BeginCacheForCookedPlatformData=0.006009, SerializeImports=73.243607, GatherLocalizableTextData=56.117294, MarkNames=0.357855, SerializeSummary=0.015322, SerializeNames=0.668839, SerializeGatherableTextData=0.477742, BuildExportMap=0.675451, SortExportsNonSeekfree=23.905144, SortExportsSeekfreeConstructor=0.050180, SortExportsSeekfreeInner=86.357780, SortExportsSeekfree=0.008114, BuildDependencyMap=0.596728, SerializeImportMap=0.071511, SerializeExportMap=0.323303, SerializeDependencyMap=0.064299, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.358316, SerializeExports=95.662643, SerializeBulkData=0.008713, MoveFile=2.570793, UnaccountedTime=2.024546, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=6.698608, FlushAsyncLoading=0.008110, FlushStreamingFunc=0.168264, BlockTillAllRequestsFinished=0.006307, ResetLoadersForSaveUnMarkAllObjects=0.208225, TagPackageExports=32.907127, BeginCacheForCookedPlatformData=0.005111, SerializeImports=33.829865, GatherLocalizableTextData=24.811953, MarkNames=0.146627, SerializeSummary=0.012320, SerializeNames=0.302870, SerializeGatherableTextData=0.315491, BuildExportMap=0.223245, SortExportsNonSeekfree=8.470159, SortExportsSeekfreeConstructor=0.008114, SortExportsSeekfreeInner=33.642372, SortExportsSeekfree=0.006009, BuildDependencyMap=0.245180, SerializeImportMap=0.015024, SerializeExportMap=0.162251, SerializeDependencyMap=0.030946, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.801115, SerializeExports=50.755161, SerializeBulkData=0.009015, MoveFile=1.775458, UnaccountedTime=1.918182, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=3.552418, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.161652, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.143923, TagPackageExports=35.040749, BeginCacheForCookedPlatformData=0.005405, SerializeImports=35.909096, GatherLocalizableTextData=25.652058, MarkNames=0.115078, SerializeSummary=0.012621, SerializeNames=0.284541, SerializeGatherableTextData=0.343733, BuildExportMap=0.224750, SortExportsNonSeekfree=8.580130, SortExportsSeekfreeConstructor=0.043571, SortExportsSeekfreeInner=32.536053, SortExportsSeekfree=0.006612, BuildDependencyMap=0.247281, SerializeImportMap=0.016224, SerializeExportMap=0.176974, SerializeDependencyMap=0.033952, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.839320, SerializeExports=48.083111, SerializeBulkData=0.008415, MoveFile=3.219806, UnaccountedTime=1.644455, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=3.659084, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.105165, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.140619, TagPackageExports=34.218369, BeginCacheForCookedPlatformData=0.005711, SerializeImports=35.883553, GatherLocalizableTextData=25.529768, MarkNames=0.156846, SerializeSummary=0.012919, SerializeNames=0.289049, SerializeGatherableTextData=0.270121, BuildExportMap=0.329912, SortExportsNonSeekfree=8.587644, SortExportsSeekfreeConstructor=0.045069, SortExportsSeekfreeInner=32.290874, SortExportsSeekfree=0.011716, BuildDependencyMap=0.300169, SerializeImportMap=0.015624, SerializeExportMap=0.161652, SerializeDependencyMap=0.031549, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.795753, SerializeExports=51.902645, SerializeBulkData=0.007514, MoveFile=2.325010, UnaccountedTime=1.833752, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.502842, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.096448, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.134610, TagPackageExports=69.669853, BeginCacheForCookedPlatformData=0.006009, SerializeImports=72.174545, GatherLocalizableTextData=53.445244, MarkNames=0.337124, SerializeSummary=0.014722, SerializeNames=0.648107, SerializeGatherableTextData=0.460915, BuildExportMap=0.710003, SortExportsNonSeekfree=23.585449, SortExportsSeekfreeConstructor=0.049274, SortExportsSeekfreeInner=85.496346, SortExportsSeekfree=0.006009, BuildDependencyMap=0.532430, SerializeImportMap=0.041164, SerializeExportMap=0.323903, SerializeDependencyMap=0.064600, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.507048, SerializeExports=100.057571, SerializeBulkData=0.008110, MoveFile=2.453614, UnaccountedTime=1.657374, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=5.537905, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.206418, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.172168, TagPackageExports=33.521282, BeginCacheForCookedPlatformData=0.005409, SerializeImports=37.184578, GatherLocalizableTextData=25.168907, MarkNames=0.111174, SerializeSummary=0.012320, SerializeNames=0.305574, SerializeGatherableTextData=0.289049, BuildExportMap=0.223245, SortExportsNonSeekfree=8.545581, SortExportsSeekfreeConstructor=0.042364, SortExportsSeekfreeInner=32.645725, SortExportsSeekfree=0.007510, BuildDependencyMap=0.291456, SerializeImportMap=0.014726, SerializeExportMap=0.161648, SerializeDependencyMap=0.033952, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.997965, SerializeExports=49.823418, SerializeBulkData=0.007208, MoveFile=2.546158, UnaccountedTime=1.800697, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=6.308600, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.089239, BlockTillAllRequestsFinished=0.007208, ResetLoadersForSaveUnMarkAllObjects=0.165559, TagPackageExports=71.627396, BeginCacheForCookedPlatformData=0.006009, SerializeImports=75.262444, GatherLocalizableTextData=54.306385, MarkNames=0.346135, SerializeSummary=0.014424, SerializeNames=0.887580, SerializeGatherableTextData=0.645403, BuildExportMap=0.724122, SortExportsNonSeekfree=23.955624, SortExportsSeekfreeConstructor=0.062495, SortExportsSeekfreeInner=85.842484, SortExportsSeekfree=0.007212, BuildDependencyMap=0.581402, SerializeImportMap=0.040863, SerializeExportMap=0.324804, SerializeDependencyMap=0.067003, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.515507, SerializeExports=101.723961, SerializeBulkData=0.021331, MoveFile=2.781723, UnaccountedTime=2.031457, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=3.529884, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.124395, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.143621, TagPackageExports=34.307007, BeginCacheForCookedPlatformData=0.006609, SerializeImports=37.614845, GatherLocalizableTextData=25.661375, MarkNames=0.117481, SerializeSummary=0.010215, SerializeNames=0.286948, SerializeGatherableTextData=0.255998, BuildExportMap=0.272524, SortExportsNonSeekfree=8.515231, SortExportsSeekfreeConstructor=0.043266, SortExportsSeekfreeInner=33.165230, SortExportsSeekfree=0.006009, BuildDependencyMap=0.323001, SerializeImportMap=0.014722, SerializeExportMap=0.204619, SerializeDependencyMap=0.032451, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.985947, SerializeExports=49.441525, SerializeBulkData=0.008412, MoveFile=2.590023, UnaccountedTime=1.718372, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.527779, FlushAsyncLoading=0.003308, FlushStreamingFunc=0.057086, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.190195, TagPackageExports=72.291725, BeginCacheForCookedPlatformData=0.005711, SerializeImports=75.158180, GatherLocalizableTextData=53.373734, MarkNames=0.334121, SerializeSummary=0.015322, SerializeNames=0.677552, SerializeGatherableTextData=0.462718, BuildExportMap=0.715714, SortExportsNonSeekfree=23.314125, SortExportsSeekfreeConstructor=0.047773, SortExportsSeekfreeInner=84.922752, SortExportsSeekfree=0.007212, BuildDependencyMap=0.590418, SerializeImportMap=0.041161, SerializeExportMap=0.324205, SerializeDependencyMap=0.066105, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.521217, SerializeExports=99.851143, SerializeBulkData=0.008415, MoveFile=2.354160, UnaccountedTime=1.620118, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=5.615726, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.100356, BlockTillAllRequestsFinished=0.017427, ResetLoadersForSaveUnMarkAllObjects=0.177275, TagPackageExports=34.685894, BeginCacheForCookedPlatformData=0.006009, SerializeImports=36.771732, GatherLocalizableTextData=25.627422, MarkNames=0.120487, SerializeSummary=0.013217, SerializeNames=0.243079, SerializeGatherableTextData=0.335321, BuildExportMap=0.227753, SortExportsNonSeekfree=8.683496, SortExportsSeekfreeConstructor=0.048373, SortExportsSeekfreeInner=31.787291, SortExportsSeekfree=0.006009, BuildDependencyMap=0.299867, SerializeImportMap=0.015322, SerializeExportMap=0.223849, SerializeDependencyMap=0.032153, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.897609, SerializeExports=49.487194, SerializeBulkData=0.009313, MoveFile=1.836754, UnaccountedTime=0.399020, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=31.074883, FlushAsyncLoading=0.006013, FlushStreamingFunc=0.152033, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.200111, TagPackageExports=19.719940, BeginCacheForCookedPlatformData=0.003006, SerializeImports=21.439814, GatherLocalizableTextData=15.681967, MarkNames=0.093743, SerializeSummary=0.011720, SerializeNames=0.340126, SerializeGatherableTextData=0.145730, BuildExportMap=0.257798, SortExportsNonSeekfree=5.250960, SortExportsSeekfreeConstructor=0.045672, SortExportsSeekfreeInner=24.758469, SortExportsSeekfree=0.004508, BuildDependencyMap=0.171565, SerializeImportMap=0.021033, SerializeExportMap=0.103060, SerializeDependencyMap=0.019532, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.199369, SerializeExports=27.650766, SerializeBulkData=0.008713, MoveFile=2.879374, UnaccountedTime=1.461770, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=1054.352051, FlushAsyncLoading=0.029147, FlushStreamingFunc=0.168260, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=541.297974, TagPackageExports=2.777215, BeginCacheForCookedPlatformData=0.002705, SerializeImports=3.760643, GatherLocalizableTextData=21.834326, MarkNames=0.074815, SerializeSummary=0.012320, SerializeNames=0.432674, SerializeGatherableTextData=0.025541, BuildExportMap=0.423357, SortExportsNonSeekfree=1.004159, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=18.337194, SortExportsSeekfree=0.003602, BuildDependencyMap=0.110574, SerializeImportMap=0.052281, SerializeExportMap=0.050176, SerializeDependencyMap=0.012018, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.407087, SerializeExports=13.135210, SerializeBulkData=1034.198853, MoveFile=3.693640, UnaccountedTime=1.263764, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=3.940321, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.079624, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.167660, TagPackageExports=18.427935, BeginCacheForCookedPlatformData=0.004206, SerializeImports=21.629107, GatherLocalizableTextData=15.712015, MarkNames=0.085633, SerializeSummary=0.010516, SerializeNames=0.318795, SerializeGatherableTextData=0.131905, BuildExportMap=0.307076, SortExportsNonSeekfree=5.226921, SortExportsSeekfreeConstructor=0.039663, SortExportsSeekfreeInner=22.184971, SortExportsSeekfree=0.003904, BuildDependencyMap=0.166159, SerializeImportMap=0.019230, SerializeExportMap=0.113577, SerializeDependencyMap=0.018928, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.010977, SerializeExports=28.050989, SerializeBulkData=0.007510, MoveFile=1.581058, UnaccountedTime=0.322398, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=4.743170, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.073012, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.169765, TagPackageExports=20.415823, BeginCacheForCookedPlatformData=0.003003, SerializeImports=19.715435, GatherLocalizableTextData=15.806060, MarkNames=0.096448, SerializeSummary=0.013221, SerializeNames=0.317592, SerializeGatherableTextData=0.130404, BuildExportMap=0.313688, SortExportsNonSeekfree=5.048145, SortExportsSeekfreeConstructor=0.042364, SortExportsSeekfreeInner=22.930731, SortExportsSeekfree=0.004206, BuildDependencyMap=0.199210, SerializeImportMap=0.019230, SerializeExportMap=0.103962, SerializeDependencyMap=0.019833, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.954792, SerializeExports=28.483660, SerializeBulkData=0.007812, MoveFile=1.433525, UnaccountedTime=1.641151, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=31.810425, FlushAsyncLoading=0.005711, FlushStreamingFunc=0.131905, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=0.181481, TagPackageExports=17.086948, BeginCacheForCookedPlatformData=0.005107, SerializeImports=18.379559, GatherLocalizableTextData=13.514400, MarkNames=0.078119, SerializeSummary=0.011120, SerializeNames=0.289049, SerializeGatherableTextData=0.104561, BuildExportMap=0.221442, SortExportsNonSeekfree=3.722183, SortExportsSeekfreeConstructor=0.039965, SortExportsSeekfreeInner=19.113298, SortExportsSeekfree=0.004206, BuildDependencyMap=0.149030, SerializeImportMap=0.017427, SerializeExportMap=0.093143, SerializeDependencyMap=0.019528, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.676260, SerializeExports=22.957771, SerializeBulkData=0.007812, MoveFile=2.834905, UnaccountedTime=1.512554, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
